Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
huawei_leisi,0.746875,0.4327763098874782,0.38719425210195213
huawei_huaxian,0.92,0.5423993996657899,0.5624873432734336
Mean,0.8334375,0.487587854776634,0.4748407976876929
